nitrate_mid,phosphate_mid,avg_spills,n_overflows,spills_per_pipe,lc_woodland_1km,lc_arable_1km,lc_grass_1km,lc_wetland_1km,lc_urban_1km,lc_water_1km,lc_woodland_5km,lc_arable_5km,lc_grass_5km,lc_wetland_5km,lc_urban_5km,lc_water_5km
0.1,0.01,0.0,0.0,0.0,16.1489446435683,30.96375945838312,50.05973715651135,0.0,2.8275587415372363,0.0,23.527770692513712,28.31510649151894,33.85888279556179,0.0,12.587680142838922,0.1610126259405688
1.5,0.15,0.0,0.0,0.0,8.91897272546287,48.89508261994824,35.17818037029664,0.0,6.091976906231336,0.0,17.537860672724374,33.55970030288538,38.11493703172326,0.0,9.459588713534194,0.2678144428503108
3.5,0.035,39.4375,4.0,35.75,22.32409806657365,0.4983057604145904,70.48036675303968,0.0,2.969902332070959,3.2290213274865454,19.39221984012497,19.424896192806425,49.29347349629004,0.0940441369856463,11.23110151187905,0.4750025901986882
0.35,0.01,39.4375,4.0,35.75,20.490822027134875,7.561851556264965,67.31843575418995,0.0,1.9952114924181965,1.9553072625698324,19.78861957102207,21.111739903236863,50.26024023401695,0.0844884067558843,8.19856369708515,0.4670774184806434
7.5,0.01,4.02,2.0,11.5,13.080757726819542,25.782652043868392,44.82552342971087,0.0,15.533399800598206,0.7776669990029911,16.021297964258956,53.205056672352505,27.062443208085572,0.3985397503547003,3.2098391493567564,0.1028232555915126
3.5,0.01,4.02,2.0,11.5,13.080757726819542,25.782652043868392,44.82552342971087,0.0,15.533399800598206,0.7776669990029911,16.021297964258956,53.205056672352505,27.062443208085572,0.3985397503547003,3.2098391493567564,0.1028232555915126
1.5,0.035,39.4375,4.0,35.75,22.42581159131647,0.0,70.42421828321052,0.0,3.3061143198566025,3.3857797251543515,19.75321435119128,17.78992929623046,48.74096275099041,0.0900735733701067,13.02639235410871,0.4774696499884419
3.5,0.035,0.27,2.0,0.5,8.424616610237004,37.562238597888864,51.26468830910177,0.0,2.748456482772356,0.0,26.46249990036109,44.408663005268906,24.13015232796346,0.0,4.907814081767674,0.0908706846388687
7.5,0.01,4.02,2.0,11.5,12.938596491228072,25.75757575757576,44.87639553429027,0.0,15.669856459330145,0.7575757575757576,16.012306122774298,53.20485231058613,27.06629684536049,0.3985143385459008,3.213619626034145,0.104410756699026
3.5,0.035,0.27,2.0,0.5,4.00398406374502,42.31075697211155,37.07171314741036,0.0,16.61354581673307,0.0,14.782934430018573,44.61978656082379,35.26847269046537,0.0,5.315257155153863,0.0135491635384039
3.5,0.035,39.4375,4.0,35.75,21.462734157034674,0.657632522917497,71.26345157433241,0.0,2.849740932642487,3.2283778397768037,19.390731855063684,19.54137507771277,49.42372989431063,0.0940523823946693,10.985796496150227,0.475044236501889
7.5,0.035,16.7225,4.0,14.0,0.9366281387006776,57.632522917497006,40.09565563969709,0.0,1.335193304105221,0.0,5.011318709348298,55.97580028057646,37.56695574544063,0.0,1.445925264634613,0.0
7.5,0.075,0.27,2.0,0.5,6.4901453314752136,50.48775632092375,38.98068883137567,0.0,4.041409516225363,0.0,11.529449270742012,45.27934964533355,38.06407906272416,0.0,5.127122021200287,0.0
3.5,0.01,0.27,2.0,0.5,6.88968538430904,21.525288729589807,38.86897650338511,0.0,32.71604938271605,0.0,19.98358081665511,42.51691733817938,32.30673585041008,0.0,5.179216183257215,0.0135498114982106
